common name	species name	evidence	ERP (y/n)	maximum life span (anAge)	estimated upper age of acyclicity onset	% life acyclic (using max life-span)	population (captive or wild)	indicator	n	reference	year	link	Order*	Excluded
asian elephants	Elephas maximus	demographic	y	79.6	68	14.57	semi-captive	fertility	1040	Lahdenpera et al.	2014	https://frontiersinzoology.biomedcentral.com/articles/10.1186/s12983-014-0054-0	Proboscidea	n
chimpanzee	Pan troglodytes	physiological	y	68	57	16.18	captive	hormones, genital swelling	9 (30)	Herndon et al.	2012	10.1007/s11357-011-9351-0	Primates	n
rhesus macaque	Macaca mulatta	physiological	y	40	29	27.5	captive	hormones	15 (26)	Gilardi et al.	1997	10.1095/biolreprod57.2.335	Primates	n
baboon	Papio spp.	physiological	y	37.5	26	30.67	captive	ceasing of menstruation	57 (459)	Martin et al.	2003	10.1016/s0047-6374(03)00134-9	Primates	n
rhesus macaque	Macaca mulatta	physiological	y	40	27	32.5	captive and feral	ceasing of menstruation, all post confirmed with ovarian histology	10 (15)	Walker et al.	1995	https://doi.org/10.1002/ajp.1350350106	Primates	n
gorilla	Gorilla gorilla	physiological	y	60	37	38.33	captive	hormones	22 (30)	Atsalis et al.	2008	https://doi.org/10.1159/000137704	Primates	n
european badger	Meles meles	physiological	y	18.6	11.4	38.71	wild	hormones, fertility	1692	Sugianto et al.	2020	https://doi.org/10.1016/j.zool.2020.125803	Carnivora	n
chimpanzee	Pan troglodytes	physiological	y	68	40	41.18	captive	hormones	14 (14)	Videan et al.	2006	https://www.ingentaconnect.com/content/aalas/cm/2006/00000056/00000004/art00007	Primates	n
african elephants	Loxodonta africana	physiological	y	65	35	46.15	captive	hormones	93	Proctor et al.	2010	https://doi.org/10.1002/zoo.20238	Proboscidea	n
spiny mouse	Acomys dimidiatus	morphological	y	5.9	3	49.15	captive	follicle count, hormones	19 (53)	Bellofiore et al.	2021	10.1093/humrep/deab215	Rodentia	n
cow	Bos primigenius	morphological	y	30	15	50	captive	fertility, nr follicles	78 (152)	Erikson et al.	1976	https://doi.org/10.1095/biolreprod15.4.555	Artiodactyla	n
rhesus macaque	Macaca mulatta	morphological	y	40	20	50	captive	follicle count	13 (64)	Nichols et al.	2005	https://academic.oup.com/humrep/article/20/1/79/671598	Primates	n
cow	Bos primigenius	morphological	y	30	14	53.33	captive	hormones, nr follicles	10 (19)	Malhi et al.	2005	https://doi.org/10.1095/biolreprod.104.038745	Artiodactyla	n
human	Homo sapiens	morphological	y	122	51	58.2	NA	follicle count	110	Faddy et al.	1992	https://doi.org/10.1093/oxfordjournals.humrep.a137570	Primates	n
Japanese monkey	Macaca fuscata	morphological	y	38.5	16	58.44	captive	follicle count	10 (47)	Nozaki et al.	1997	https://doi.org/10.1007/BF02385925	Primates	n
human	Homo sapiens	demographics	y	122	50	59.02	hunter-gatherers	live births	>60	Thompson et al.	2007	https://doi.org/10.1016/j.cub.2007.11.033	Primates	n
mouse - BL6	Mus musculus	physiological	y	4	1.6	60	captive	hormones	>10 (>10)	Parkening et al.	1982	10.1016/0197-4580(82)90058-6	Rodentia	n
mouse - BL6	Mus musculus	morphological	y	4	1.6	60	captive	follicle count	16	Urua et al.	2020	https://doi.org/10.3390/biom10010113	Rodentia	n
mares	Equus caballus	physiological	y	57	20	64.91	Domestic	hormones	>10 (1101)	Uliani et al.	2019	https://doi.org/10.1530/JOE-18-0391	Perissodactyla	n
mares	Equus caballus	physiological	y	57	20	64.91	Domestic	hormones (LH, FSH)	16 (45)	Carnevale et al.	1994	https://doi.org/10.1016/0378-4320(94)90039-6	Perissodactyla	n
mouse - BL6	Mus musculus	physiological	y	4	1.3	67.5	captive	vaginal cytology	34	Nelson et al.	1982	https://doi.org/10.1095/biolreprod27.2.327	Rodentia	n
mouse - BL6	Mus musculus	physiological	y	4	1.3	67.5	captive	vaginal cytology	59	Felicio et al.	1984	10.1095/biolreprod31.3.446	Rodentia	n
ewes	Ovis aries	demographic	y	22.8	6	73.68	Domestic	lamb weight and litter size	87532	Mysterud et al.	2002	https://doi.org/10.1034/j.1600-0706.2002.970203.x	Artiodactyla	n
rat	Rattus norvegicus	physiological	y	3.8	1	73.68	captive	vaginal cytology	14 (34)	Nelson et al.	1982	https://doi.org/10.1095/biolreprod27.2.327	Rodentia	n
black howler	Alouatta caraya	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
gray-bellied night monkey	Aotus lemurinus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
three-striped night monkey	Aotus trivirgatus	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
black-headed spider monkey	Ateles fusciceps	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Geoffroy's spider monkey	Ateles geoffroyi	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Goeldi's marmoset	Callimico goeldii	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
white-headed marmoset	Callithrix geoffroyi	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
marmoset	Callithrix jacchus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Wied's marmoset	Callithrix kuhli	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Black-tufted Marmoset	Callithrix penicillata	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
dog (beagle)	Canis familiaris	NA	NA	NA	NA	NA	NA	NA	NA	Cohen et al.	2003	10.1017/s1464793103006432	Carnivora	n
pygmy marmoset	Cebuella pygmaea	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
collared mangabey	Cercocebus torquatus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
diana monkey	Cercopithecus diana	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
de brazza's monkey	Cercopithecus neglectus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
fat-tailed dwarf lemur	Cheirogaleus medius	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
grivet	Chlorocebus aethiops	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
sloth	Choloepus didactylus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Pilosa	n
Angolan Colobus Monkey	Colobus angolensis	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
mantled guereza	Colobus guereza	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
armadillos	Dasypus novemcinctus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Cingulata	n
asian elephants	Elephas maximus	demographic	y	NA	NA	NA	semi-captive	fertility	2568	Chapman et al.	2019	https://doi.org/10.1186/s12862-019-1513-1	Proboscidea	n
asian elephants	Elephas maximus	physiological	y	NA	NA	NA	captive	hormones	92	Proctor et al.	2010	https://doi.org/10.1002/zoo.20238	Proboscidea	n
hedgehog 	Erinaceus europaeus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Erinaceomorpha	n
patas monkey	Erythrocebus patas	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
common brown lemur	Eulemur fuvus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
black lemur	Eulemur macaco	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
cat	Felis catus	NA	NA	NA	NA	NA	NA	NA	NA	Cohen et al.	2003	10.1017/s1464793103006432	Carnivora	n
Lesser Bushbaby	Galago moholi	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
